,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
2016-01-31 19:27:29.355551,0.000817,4.697710761375418,1.1526067113707954,-5.138165542067211,0.056075530655372234,1.4930000207165013
2016-02-04 19:09:58.974336,0.0005437,4.925964920951237,1.1526363819680792,-4.924886307473503,0.05585879989053299,1.3484762866758588
2016-02-05 17:43:49.867103,0.0008029,4.672899160729066,1.152678269870127,-4.672712410499103,0.05578353804799763,1.3146727497232327
2016-02-06 01:14:32.477856,0.0008041,4.6734035608828925,1.1526747792116232,-4.673201102689661,0.05578356186583586,1.3033979227553492
2016-02-07 01:39:21.000384,0.0008067,4.692616145288846,1.1526835058578828,-4.69248873625345,0.05578355133170629,1.2667058658906725
2016-02-08 02:04:09.630912,0.0018222,4.891344569908676,1.1526416179558352,-4.880483385973515,0.0558433364250799,1.2299649398069399
2016-02-10 12:10:21.869184,0.0008493,4.769194211549349,1.1526189286755593,-4.765628503887525,0.05589740940051227,1.1420596867009933
2016-02-11 14:24:35.368704,0.0005511,4.757493524243979,1.1526974684918991,-4.7565283571676265,0.05589747270770021,1.1025943016548978
2016-02-12 03:31:42.802751,0.0008666,4.748040821015178,1.152625909992567,-4.746737060063939,0.05589835542246858,1.0828685904488577
2016-02-13 18:52:41.312927,0.000822,4.768026586279765,1.152653835260599,-4.767899177244369,0.055906869081106675,1.0233109750538034
2016-02-14 02:22:24.319776,0.0008259,4.76831107494784,1.1526625619068591,-4.768215081838981,0.05590685863745175,1.011987278866864
2016-02-15 02:43:59.170656,0.0008279,4.768778823187375,1.152671288553119,-4.768656650139735,0.05590687102882597,0.9752184275150996
2016-02-16 08:42:51.160032,0.0008286,4.755189689631346,1.152669543223867,-4.755088460534731,0.05590689208429561,0.9299498227061227
2016-02-17 09:04:25.918464,0.0008275,4.744770073996941,1.152671288553119,-4.744679316875837,0.05590690394979485,0.8931722447080981
2016-02-18 18:48:09.476927,0.0008287,4.735823516251218,1.152669543223867,-4.735713560508342,0.05590691745179535,0.8422365558178956
2016-02-19 13:32:26.992319,0.0008279,4.731920960043758,1.1526677978946152,-4.731811004300883,0.05590692588895067,0.8139430233138155
2016-02-20 00:47:01.464576,0.0008246,4.723587012865485,1.152669543223867,-4.723506727719894,0.05590693037552371,0.7969592243626586
2016-02-21 01:08:36.217824,0.0008196,4.71600355726557,1.1526677978946152,-4.715931998766238,0.055906941126591315,0.7601799010353822
2016-02-22 01:30:10.977983,0.0008154,4.710249206721745,1.1526660525653631,-4.710172412234657,0.055906951834028495,0.7233848697448377
2016-02-23 01:51:45.728639,0.0008182,4.698321626613616,1.1526643072361111,-4.698216906858496,0.05590696446285261,0.6866020557590572
2016-02-24 07:50:37.662720,0.0008187,4.688884631348082,1.152671288553119,-4.6887781662637105,0.05590698240967848,0.6413351962793324
2016-02-25 08:12:12.385728,0.0008246,4.664104446628267,1.152680015199379,-4.664006708190155,0.055906990085724126,0.6045611089398119
2016-02-26 08:33:47.306592,0.0008268,4.665991147549673,1.152681760528631,-4.666040016768728,0.05590696850642331,0.5677521150152515
2016-02-27 08:55:22.495295,0.000818,4.705896355567271,1.152685251187135,-4.70593126215231,0.055906937354299524,0.5309309037859271
2016-02-28 14:54:15.125759,0.0008053,4.725880375502606,1.1526835058578828,-4.725791363710754,0.055906906539060594,0.48562913772116223
2016-02-29 15:15:50.196959,0.0008106,4.721742199846128,1.152688741845639,-4.721627008115496,0.05590689332200392,0.44883759708912174
2016-03-01 15:37:25.281120,0.0007991,4.69759906030329,1.1526974684918991,-4.697482123243406,0.055906875760852855,0.41205652843259327
2016-03-02 10:21:43.111871,0.0008139,4.6885861800459905,1.152702704479655,-4.688502404241896,0.05590685049349281,0.38375252395300125
2016-03-03 01:21:09.209376,0.0008133,4.6817828866217175,1.152702704479655,-4.681751470695182,0.05590685049346986,0.36111734888388675
2016-03-04 01:42:44.267615,0.0008223,4.684146062428917,1.1527061951381588,-4.684116391831633,0.0559068440982539,0.3243362802273583
2016-03-05 07:41:36.631968,0.0008367,4.675428142815206,1.1527131764551668,-4.675403708205677,0.05590683776963117,0.27905894877212134
2016-03-06 08:03:11.748960,0.000829,4.684781362276643,1.152709685796663,-4.684701077131051,0.05590683429733084,0.2422621721523249
2016-03-07 14:02:04.096896,0.0008192,4.708914029843969,1.152711431125915,-4.708842471344637,0.055906836382244834,0.196981350038584
2016-03-08 14:23:39.209567,0.0008044,4.707381630760718,1.152711431125915,-4.707248985737566,0.055906835552105794,0.16019155473579555
2016-03-09 16:37:40.007424,0.0008032,4.7213617180691925,1.152711431125915,-4.721234309033797,0.05590683865204738,0.1205638540692643
2016-03-10 16:59:15.117504,0.0008073,4.69143804804375,1.1527061951381588,-4.6913246016423695,0.055906826982258406,0.0837496241569479
2016-03-11 15:28:24.517344,0.0007824,4.696183598279923,1.152709685796663,-4.695989866732951,0.055906820105483944,0.04974711966959437
2016-03-12 00:50:33.322560,0.0007896,4.733668034625005,1.1527253937599309,-4.733659307978744,0.05590678447079083,0.03553315824135255
2016-03-13 01:12:08.590752,0.0008006,4.749110707846651,1.1527166671136708,-4.74896060953098,0.05590674278290488,6.281890272874606
2016-03-14 16:33:09.749088,0.0007897,4.725023418839877,1.152711431125915,-4.724831432622158,0.05590676490678165,6.22249671842924
2016-03-15 01:55:18.573312,0.0007894,4.727683300619916,1.1527061951381588,-4.727571599547788,0.05590674280166022,6.208345588854069
2016-03-16 07:54:10.914336,0.0007868,4.713338439497774,1.152704449808907,-4.713132490646039,0.055906771235858604,6.163083965362101
2016-03-17 10:08:11.649983,0.0007917,4.714467667523815,1.152709685796663,-4.714294879927868,0.05590678002430697,6.123463246012577
